series_id,series_name,all_names,trust,cik,ticker,all_tickers,first_year,last_year,leverage_parsed,leverage_note,reset,underlying,underlying_note,category,active_2026,has_ticker
S000022767,Direxion Daily S&P 500(R) Bull 3X ETF,Direxion Daily S&P 500(R) Bull 3X Shares | Direxion Daily S&P 500(R) Bull 3X ETF,Direxion Shares ETF Trust,0001424958,SPXL,SPXL,2022,2026,3.0,number,daily,S,"ambiguous:S,P,R",index_other,True,True
S000024919,ProShares UltraPro S&P500,ProShares UltraPro S&P500,PROSHARES TRUST,0001174610,UPRO,UPRO,2022,2026,3.0,proshares ultrapro,daily,S,ticker token,index_other,True,True
S000049373,Direxion Daily S&P Biotech Bull 3X ETF,Direxion Daily S&P Biotech Bull 3X Shares | Direxion Daily S&P Biotech Bull 3X ETF,Direxion Shares ETF Trust,0001424958,LABU,LABU,2022,2026,3.0,number,daily,S,"ambiguous:S,P",index_other,True,True
S000066279,Direxion Daily S&P 500(R) High Beta Bull 3X ETF,Direxion Daily S&P 500(R) High Beta Bull 3X Shares | Direxion Daily S&P 500(R) High Beta Bull 3X ETF,Direxion Shares ETF Trust,0001424958,HIBL,HIBL,2022,2026,3.0,number,daily,S,"ambiguous:S,P,R",index_other,True,True
S000104186,Direxion Daily S&P 500 Bull 4X ETF,Direxion Daily S&P 500 Bull 4X ETF,Direxion Shares ETF Trust,0001424958,,,2026,2026,4.0,number,daily,S,"ambiguous:S,P",index_other,True,False
S000107689,ProShares Ultra SB Energy,ProShares Ultra SB Energy,PROSHARES TRUST,0001174610,,,2026,2026,2.0,proshares ultra,daily,SB,ticker token,index_other,True,False
S000091730,T-REX 2X Long SUI Daily Target ETF,Tuttle Capital 2X Long Polkadot Daily Target ETF | T-REX 2X Long SUI Daily Target ETF,ETF Opportunities Trust,0001771146,,,2025,2026,2.0,number,daily,SUI,ticker token,index_other,True,False
S000098945,GraniteShares 3x Short XRP Daily ETF,GraniteShares 3x Short XRP Daily ETF,GraniteShares ETF Trust,0001689873,,,2026,2026,-3.0,number,daily,XRP,ticker token,index_other,True,False
S000091572,ProShares UltraShort XRP ETF,ProShares UltraShort XRP ETF,PROSHARES TRUST,0001174610,,,2025,2025,-2.0,proshares ultra,daily,XRP,ticker token,index_other,False,False
S000091626,Teucrium 2x Short Daily XRP ETF,Teucrium 2x Short Daily XRP ETF,Listed Funds Trust,0001683471,,,2025,2026,-2.0,number,daily,XRP,ticker token,index_other,True,False
S000093031,Leverage Shares 2X Short XRP Daily ETF,Leverage Shares 2X Short XRP Daily ETF,Themes ETF Trust,0001976322,,,2025,2026,-2.0,number,daily,XRP,ticker token,index_other,True,False
