series_id,series_name,all_names,trust,cik,ticker,all_tickers,first_year,last_year,leverage_parsed,leverage_note,reset,underlying,underlying_note,category,active_2026,has_ticker,n_obs,beta,r2,resid_sd,beta_first60,beta_last60,beta_roll_min,beta_roll_max,price_ticker,first_date,last_date,med_dollar_vol,lev_check
S000099408,Defiance Daily Target 2X Short APLD ETF,Defiance Daily Target 2X Short APLD ETF,Tidal Trust II,1924868,SAPL,SAPL,2026,2026,-2.0,number,daily,APLD,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000100830,Tradr 2X Short APLD Daily ETF,Tradr 2X Short APLD Daily ETF,Investment Managers Series Trust II,1587982,APLZ,APLZ,2026,2026,-2.0,number,daily,APLD,ticker token,single_stock,True,True,167.0,-1.9965790011674338,0.9986134601663403,0.00482336991944239,-1.9856904566557065,-2.0162608869404797,-2.0162608869404797,-1.9856904566557065,APLZ,2026-01-22,2026-09-23,3296787.981414795,ok
S000095051,Tradr 2X Long APLD Daily ETF,Tradr 2X Long APLD Daily ETF,Investment Managers Series Trust II,1587982,APLX,APLX,2026,2026,2.0,number,daily,APLD,ticker token,single_stock,True,True,260.0,1.988670507536305,0.9983989885714973,0.005135258709179421,2.0011294477262274,1.9890197774988991,1.9729646406586194,2.012214061230831,APLX,2025-09-09,2026-09-23,13953744.741296768,ok
S000091894,Tradr 2X Long APP Daily ETF,Tradr 2X Long APP Daily ETF,Investment Managers Series Trust II,1587982,APPX,APPX,2025,2026,2.0,number,daily,APP,ticker token,single_stock,True,True,353.0,1.985681765254609,0.9986586280219365,0.003193206272322489,1.9465850807500706,1.9885700413624805,1.924275146922987,2.0125303402869767,APPX,2025-04-25,2026-09-23,14635504.896879196,ok
S000100054,T-REX 2X LONG AREC DAILY TARGET ETF,T-REX 2X LONG AREC DAILY TARGET ETF,ETF Opportunities Trust,1771146,ARCU,ARCU,2026,2026,2.0,number,daily,AREC,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000099415,Defiance Daily Target 2X Short ARM ETF,Defiance Daily Target 2X Short ARM ETF,Tidal Trust II,1924868,SARM,SARM,2026,2026,-2.0,number,daily,ARM,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000086640,Leverage Shares 2X Long ARM Daily ETF,Leverage Shares 2X Long ARM Daily ETF,Themes ETF Trust,1976322,ARMG,ARMG,2025,2026,2.0,number,daily,ARM,ticker token,single_stock,True,True,423.0,1.9991960936389863,0.9990316892238992,0.0028519472215986787,1.9993753950292694,2.0092486334459605,1.967563525935463,2.0230837937222805,ARMG,2025-01-14,2026-09-23,16263814.857387543,ok
S000087463,T-REX 2X LONG ARM DAILY TARGET ETF,T-REX 2X LONG ARM DAILY TARGET ETF,ETF Opportunities Trust,1771146,ARMU,ARMU,2025,2026,2.0,number,daily,ARM,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000100573,Tradr 2X Long ARQQ Daily ETF,Tradr 2X Long ARQQ Daily ETF,Investment Managers Series Trust II,1587982,ARQX,ARQX,2026,2026,2.0,number,daily,ARQQ,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000086641,Leverage Shares 2X Long ASML Daily ETF,Leverage Shares 2X Long ASML Daily ETF,Themes ETF Trust,1976322,ASMG,ASMG,2025,2026,2.0,number,daily,ASML,ticker token,single_stock,True,True,423.0,1.9863971556499147,0.9966193933562904,0.0032140161382412345,1.9736313872133304,1.9915319602628605,1.9018134883150146,2.013773146829533,ASMG,2025-01-14,2026-09-23,2269871.9020843506,ok
